id,title,author
386,찬란한 액션 유치원,탐이부/김동찬
429,금수친구들,짤태식
482,후궁공략,봉봉
483,유부녀 킬러,YOON/검둥
484,피치 (PITCH),홍성수/지뚱X강용
485,흔한 환생녀의 사정,풀모
486,오늘은 꼭 고백할 거야!,CHYA
487,어린 (물고기 비늘),윤태호
488,차피,펭펭
489,너에게 가는 거리 2091km,빵시헌
490,이세계 전담반,손희준/택
491,너를 기다리는 날,복복
492,방탕일기,단지
493,경성야상곡,김라무
494,순정 히포크라테스,골드키위새
495,할매,재후
496,악역의 구원자,명랑/잿슨
497,표류감옥,조원표
498,풍검,김철현 
499,별똥별이 떨어지는 그 곳에서 기다려,만물상
500,주말 도미 시식회,이용우
501,여의주,운/김한석
502,반지하셋방,평범한 자매
503,멀리서 보면 푸른 봄,지늉
504,레드스톰,노경찬/암현
